ORTHO;PERIODE;NBLET;CP_U;GRAM
étourdir;1;8;#N/A;#N/A
marmotte;1;8;19.29;NC
tâche;1;5;#N/A;#N/A
touche;1;6;48.43;VER
fuite;1;5;8.19;NC
frite;1;5;0.30;ADJ
flûte;1;5;78.53;NC
tata;1;4;#N/A;#N/A
tajine;1;6;#N/A;#N/A
dorée;1;5;8.39;ADJ
idéal;1;5;#N/A;#N/A
foire;1;5;47.26;NC
soirée;1;6;16.18;NC
revoir;1;6;26.02;NC
voilà;1;5;610.82;PRE
voiture;1;7;757.22;NC
voie;1;4;3.72;NC
assoit;1;6;84.04;VER
pot;1;3;374.59;NC
appétit;1;7;56.99;NC
patate;1;6;1.87;NC
pavlova;1;7;#N/A;#N/A
pyramide;1;8;9.54;NC
papi;1;4;#N/A;#N/A
petite;1;6;1144.99;ADJ
patte;1;5;331.43;NC
drone;1;5;#N/A;#N/A
tri;1;3;#N/A;#N/A
ordre;1;5;67.50;NC
litre;1;5;44.62;NC
titre;1;5;44.02;NC
trame;1;5;#N/A;#N/A
vitre;1;5;10.58;NC
prime;1;5;0.38;NC
trône;1;5;#N/A;#N/A
truite;1;6;23.90;NC
trouve;1;6;576.24;VER
plâtre;1;6;25.02;NC
attrapé;1;7;34.00;VER
affût;1;5;#N/A;#N/A
lâché;1;5;#N/A;#N/A
prépare;1;7;185.61;VER
repas;1;5;237.51;NC
soupe;1;5;131.73;NC
molle;1;5;10.69;ADJ
pomme;1;5;465.49;NC
flatte;1;6;#N/A;#N/A
redoute;1;7;#N/A;#N/A
réparé;1;6;19.23;VER
vipère;2;6;36.21;NC
près;2;4;421.70;PRE
forêt;2;5;514.83;NC
fête;2;4;460.26;NC
être;2;4;464.98;VER
arête;2;5;67.06;NC
chêne;2;5;62.95;NC
même;2;4;518.65;ADV
pêche;2;5;163.20;NC
prête;2;5;28.91;VER
rêve;2;4;134.90;NC
tête;2;4;907.81;NC
préfère;2;7;66.80;VER
plus;2;4;2771.16;ADV
fenêtre;2;7;357.81;NC
caché;2;5;58.71;VER
calme;2;5;16.22;ADJ
clame;2;5;#N/A;#N/A
écoute;2;6;269.57;VER
cuisse;2;6;3.80;NC
cactus;2;6;#N/A;#N/A
calcul;2;6;34.22;NC
picore;2;6;1.19;VER
fracas;2;6;3.97;NC
cocorico;2;8;8.22;NC
crêpe;2;5;16.27;NC
canari;2;6;10.72;NC
carie;2;5;0.61;NC
carpe;2;5;2.13;NC
cuire;2;5;88.25;VER
cascade;2;7;10.52;NC
coule;2;5;49.41;VER
étude;2;5;0.43;NC
récupère;2;8;#N/A;#N/A
parle;2;5;163.78;VER
postale;2;7;40.83;ADJ
bus;2;3;0.61;NC
bricole;2;7;0.38;VER
abricot;2;7;28.58;NC
bos;2;3;#N/A;#N/A
bête;2;4;137.91;NC
bras;2;4;242.57;NC
passe;2;5;432.39;VER
bricolé;2;7;0.62;VER
dodu;2;4;#N/A;#N/A
oubli;2;5;3.87;NC
brune;2;5;0.15;NC
échappé;2;7;0.62;VER
marée;2;5;0.52;NC
côté;2;4;471.20;NC
bal;2;3;47.28;NC
début;2;5;74.95;NC
recoudre;2;8;0.52;VER
coudre;2;6;32.70;VER
doudoune;2;8;#N/A;#N/A
bicolore;2;8;#N/A;#N/A
regard;2;6;10.54;NC
grippe;2;6;19.16;NC
rugby;2;5;1.83;NC
déguste;2;7;0.89;VER
gala;2;4;#N/A;#N/A
gourde;2;6;#N/A;#N/A
galerie;2;7;1.05;NC
gâté;2;4;0.62;VER
course;2;6;281.15;NC
allure;2;6;48.30;NC
pirogue;2;7;2.49;NC
fatigué;2;7;35.40;ADJ
figue;2;5;3.84;NC
chaviré;2;7;#N/A;#N/A
touriste;2;8;#N/A;#N/A
troupe;2;6;19.03;NC
depuis;2;6;149.39;PRE
accoste;2;7;#N/A;#N/A
guépard;2;7;0.53;NC
font;2;4;261.89;VER
fondue;2;6;0.76;NC
polisson;2;8;8.04;NC
talon;2;5;8.20;NC
rond;2;4;66.04;ADJ
capuchon;2;8;0.38;NC
ronronne;2;8;13.88;VER
mousson;2;7;#N/A;#N/A
macaron;2;7;#N/A;#N/A
boîte;2;5;234.97;NC
canapé;2;6;19.06;NC
tricote;2;7;36.07;VER
pelote;2;6;41.07;NC
gronde;2;6;5.19;VER
coquine;2;7;0.76;NC
barque;2;6;42.17;NC
boutique;2;8;38.27;NC
attaque;2;7;17.88;VER
pique;2;5;62.12;VER
lorsque;2;7;64.70;CON
comme;2;5;1169.95;CON
bouchon;2;7;35.77;NC
bloque;2;6;#N/A;#N/A
pommade;2;7;18.94;NC
acrobate;2;8;35.36;NC
drôle;2;5;225.81;ADJ
jongle;2;6;3.66;VER
raconte;2;7;129.88;VER
colline;2;7;16.45;NC
gros;2;4;682.05;ADJ
en ;2;3;#N/A;#N/A
ennui;2;5;0.42;NC
rendre;2;6;36.19;VER
endormir;2;8;62.20;VER
enfile;2;6;16.18;VER
entre;2;5;197.17;PRE
immense;2;7;35.40;ADJ
pente;2;5;0.62;NC
avril;2;5;70.50;NC
brosse;2;6;74.45;NC
retour;2;6;167.19;NC
envolé;2;6;10.54;VER
vêtement;2;8;15.65;NC
an;2;2;41.19;NC
sans;2;4;661.82;PRE
dans;2;4;10264.52;PRE
souriant;2;8;28.87;VER
gants;2;5;31.20;NC
tant;2;4;84.23;ADV
chante;2;6;190.07;VER
sortir;2;6;210.47;VER
arbore;2;6;#N/A;#N/A
sublime;2;7;#N/A;#N/A
concocte;2;8;#N/A;#N/A
tendre;2;6;5.47;ADJ
croquant;2;8;#N/A;#N/A
content;2;7;145.18;ADJ
pois;2;4;79.14;NC
purée;2;5;73.25;NC
faute;2;5;50.31;NC
paume;2;5;#N/A;#N/A
taupe;2;5;25.50;NC
aucun;2;5;8.31;ADJ
pauvre;2;6;305.73;ADJ
pré;2;3;343.22;NC
mauve;2;5;0.30;ADJ
monde;2;5;567.32;NC
commandé;2;8;0.42;VER
saumon;2;6;1.27;NC
demandé;2;7;40.00;VER
rôtie;2;5;#N/A;#N/A
régalé;2;6;#N/A;#N/A
concours;2;8;41.61;NC
tango;2;5;#N/A;#N/A
lauréat;2;7;#N/A;#N/A
kaki;2;4;0.43;NC
képpi;2;5;#N/A;#N/A
téléski;2;7;0.37;NC
karaoké;2;7;#N/A;#N/A
maki;2;4;7.57;NC
okapi;2;5;#N/A;#N/A
polka;2;5;0.89;NC
parka;2;5;#N/A;#N/A
judoka;2;6;#N/A;#N/A
lièvre;2;6;66.68;NC
capitale;2;8;1.50;NC
endiablé;2;8;#N/A;#N/A
mais;2;4;3603.59;CON
fais;2;4;430.24;VER
sais;2;4;566.32;VER
plaire;2;6;5.36;VER
marraine;2;8;1.07;NC
plaie;2;5;#N/A;#N/A
traire;2;6;0.42;VER
tondre;2;6;#N/A;#N/A
polaire;2;7;#N/A;#N/A
fois;2;4;653.13;NC
parent;2;6;0.61;VER
mauvais;2;7;13.39;ADJ
aime;2;4;554.17;VER
étable;2;6;19.48;NC
grande;2;6;509.89;ADJ
frais;2;5;32.12;ADJ
bain;2;4;156.76;NC
brin;2;4;50.10;NC
bassin;2;6;21.70;NC
colin;2;5;#N/A;#N/A
lutin;2;5;7.26;NC
invite;2;6;6.45;VER
copain;2;6;63.29;NC
train;2;5;356.20;NC
main;2;4;402.92;NC
pain;2;4;331.26;NC
nain;2;4;50.56;NC
soudain;2;7;155.08;ADV
demain;2;6;201.54;ADV
plante;2;6;5.36;NC
tatin;2;5;#N/A;#N/A
coussin;2;7;56.28;NC
installe;2;8;67.58;VER
peluche;2;7;80.56;NC
cheminée;2;8;74.06;NC
ordure;2;6;#N/A;#N/A
menton;2;6;52.35;NC
pintade;2;7;#N/A;#N/A
poussin;2;7;75.56;NC
sûrement;2;8;96.20;ADV
zébu;2;4;4.88;NC
zinc;2;4;#N/A;#N/A
brave;2;5;0.50;ADJ
obstacle;2;8;0.35;NC
péril;2;5;#N/A;#N/A
chiffre;2;7;22.33;NC
autruche;2;8;21.76;NC
chiot;2;5;1.13;NC
moment;2;6;247.16;NC
gazon;2;5;35.42;NC
véranda;2;7;#N/A;#N/A
amazone;2;7;#N/A;#N/A
talent;2;6;#N/A;#N/A
blette;2;6;#N/A;#N/A
omelette;2;8;47.86;NC
mouette;2;7;0.31;NC
vitesse;2;7;106.80;NC
presse;2;6;0.42;NC
benne;2;5;3.90;NC
renne;2;5;6.31;NC
pivoine;2;7;3.80;NC
avec ;2;5;#N/A;#N/A
dessert;2;7;56.00;NC
mettre;2;6;259.53;VER
lequel;2;6;28.04;PRO
perdre;2;6;63.96;VER
quelque;2;7;151.64;ADJ
personne;2;8;81.42;NC
trois;2;5;737.99;ADJ
assiette;2;8;84.42;NC
violette;2;8;10.49;NC
celui;2;5;123.16;PRO
cime;2;4;#N/A;#N/A
tricycle;2;8;0.50;NC
vacance;2;7;#N/A;#N/A
cible;2;5;3.90;NC
cyclone;2;7;#N/A;#N/A
silence;2;7;85.67;NC
chance;2;6;64.05;NC
cercle;2;6;3.97;NC
façade;2;6;11.87;NC
limaçon;2;7;#N/A;#N/A
cabane;2;6;83.36;NC
camouflé;2;8;#N/A;#N/A
devoir;2;6;10.47;NC
lecture;2;7;43.94;NC
gravir;2;6;#N/A;#N/A
averse;2;6;13.48;NC
fraîche;2;7;36.72;ADJ
branche;2;7;146.63;NC
ensemble;2;8;205.97;ADV
embauche;2;8;#N/A;#N/A
soldat;2;6;25.15;NC
bambou;2;6;#N/A;#N/A
flambe;2;6;0.37;VER
ampoule;2;7;5.55;NC
fable;2;5;12.10;NC
propre;2;6;100.12;ADJ
jungle;2;6;7.83;NC
vitrine;2;7;49.77;NC
escaladé;2;8;#N/A;#N/A
zeste;2;5;#N/A;#N/A
comble;2;6;#N/A;#N/A
sombre;2;6;46.88;ADJ
bombe;2;5;3.86;NC
gomme;2;5;73.07;NC
trombone;2;8;#N/A;#N/A
gazelle;2;7;3.46;NC
tribu;2;5;1.83;NC
faim;2;4;167.93;NC
grimpe;2;6;101.95;VER
sympa;2;5;#N/A;#N/A
gel;3;3;7.65;NC
âge;3;3;12.36;NC
gîte;3;4;#N/A;#N/A
gym;3;3;#N/A;#N/A
gigot;3;5;#N/A;#N/A
agile;3;5;16.15;ADJ
pigeon;3;6;29.55;NC
magie;3;5;5.62;NC
éponge;3;6;31.61;NC
bagage;3;6;#N/A;#N/A
génial;3;6;2.49;ADJ
rugir;3;5;3.84;VER
genou;3;5;70.05;NC
bourgeon;3;8;#N/A;#N/A
linge;3;5;28.48;NC
géant;3;5;58.35;NC
costume;3;7;87.36;NC
méchant;3;7;39.96;ADJ
ose;3;3;3.73;VER
grise;3;5;30.74;ADJ
cuisine;3;7;232.92;NC
musique;3;7;232.04;NC
jalouse;3;7;0.50;ADJ
fusée;3;5;75.16;NC
poésie;3;6;39.70;NC
poison;3;6;28.79;NC
magasin;3;7;137.39;NC
visite;3;6;48.58;NC
marcher;3;7;46.74;VER
écouter;3;7;39.69;VER
acheter;3;7;148.80;VER
rester;3;6;94.09;VER
adorer;3;6;#N/A;#N/A
cacher;3;6;55.10;VER
danser;3;6;19.72;VER
donner;3;6;245.43;VER
grimacer;3;8;#N/A;#N/A
goûter;3;6;109.64;NC
manger;3;6;525.45;VER
penser;3;6;8.39;VER
tomber;3;6;137.08;VER
dimanche;3;8;114.80;NC
pantalon;3;8;129.39;NC
nouer;3;5;0.84;VER
bien;3;4;2758.98;ADV
rien;3;4;643.42;PRO
sien;3;4;19.13;PRO
viens;3;5;176.40;VER
mien;3;4;50.29;PRO
tien;3;4;39.59;PRO
chien;3;5;784.49;NC
magicien;3;8;21.97;NC
violent;3;7;5.71;ADJ
mienne;3;6;3.96;PRO
tienne;3;6;0.50;VER
sienne;3;6;0.50;PRO
commande;3;8;3.83;NC
coucher;3;7;67.90;VER
blottir;3;7;#N/A;#N/A
jouet;3;5;79.37;NC
muet;3;4;5.39;ADJ
admet;3;5;#N/A;#N/A
cadet;3;5;0.43;NC
farfadet;3;8;#N/A;#N/A
volet;3;5;13.62;NC
tiret;3;5;#N/A;#N/A
civet;3;5;#N/A;#N/A
boulet;3;6;#N/A;#N/A
pichet;3;6;#N/A;#N/A
muguet;3;6;58.89;NC
bouquet;3;7;194.11;NC
orage;3;5;67.36;NC
derrière;3;8;169.21;PRE
présence;3;8;#N/A;#N/A
légende;3;7;6.73;NC
jamais;3;6;409.74;ADV
inviter;3;7;10.72;VER
écharpe;3;7;35.50;NC
bonnet;3;6;12.67;NC
tiroir;3;6;42.92;NC
froide;3;6;9.61;ADJ
souvenir;3;8;1.05;NC
enchanté;3;8;3.90;ADJ
peau;3;4;133.61;NC
seau;3;4;95.24;NC
beau;3;4;645.07;ADJ
cadeau;3;6;189.54;NC
oiseau;3;6;446.63;NC
deviner;3;7;0.52;VER
déballer;3;8;#N/A;#N/A
pouvoir;3;7;22.27;VER
cabri;3;5;0.43;NC
thé;3;3;59.17;NC
hublot;3;6;#N/A;#N/A
huître;3;6;1.22;NC
hibou;3;5;85.10;NC
huile;3;5;53.06;NC
étagère;3;7;10.63;NC
décider;3;7;10.34;VER
demander;3;8;57.09;VER
aider;3;5;116.22;VER
raison;3;6;24.42;NC
libre;3;5;35.88;ADJ
progrès;3;7;6.55;NC
croire;3;6;12.11;VER
efforts;3;7;2.64;NC
option;3;6;#N/A;#N/A
spatial;3;7;#N/A;#N/A
martien;3;7;#N/A;#N/A
initial;3;7;#N/A;#N/A
message;3;7;47.72;NC
gaufre;3;6;0.15;NC
biberon;3;7;38.64;NC
aventure;3;8;29.65;NC
attentif;3;8;0.37;ADJ
absorbé;3;7;#N/A;#N/A
promesse;3;8;#N/A;#N/A
agent;3;5;46.80;NC
sécurité;3;8;20.94;NC
uniforme;3;8;11.94;NC
explique;3;8;65.09;VER
décrire;3;7;#N/A;#N/A
fréquent;3;8;#N/A;#N/A
ensuite;3;7;177.31;ADV
exemple;3;7;176.42;NC
complexe;3;8;#N/A;#N/A
exquis;3;6;3.90;ADJ
extrême;3;7;#N/A;#N/A
exercice;3;8;246.36;NC
extra;3;5;8.46;ADJ
dix;3;3;176.78;ADJ
six;3;3;151.99;ADJ
remplir;3;7;10.65;VER
excuse;3;6;25.11;NC
soigner;3;7;37.50;VER
cygne;3;5;13.42;NC
chignon;3;7;12.88;NC
montagne;3;8;333.12;NC
vignoble;3;8;#N/A;#N/A
mulot;3;5;1.27;NC
stocker;3;7;#N/A;#N/A
étrange;3;7;38.87;ADJ
terrier;3;7;0.75;NC
intrigué;3;8;5.53;VER
remarque;3;8;16.33;NC
protéger;3;8;29.31;VER
réserve;3;7;3.52;NC
hérisson;3;8;126.64;NC
fier;3;4;45.54;ADJ
pousser;3;7;28.80;VER
voler;3;5;87.96;VER
autour;3;6;287.60;ADV
accepter;3;8;0.52;VER
chez;3;4;965.07;PRE
huitre;3;6;#N/A;#N/A
couvert;3;7;6.37;VER
démanger;3;8;#N/A;#N/A
marchand;3;8;69.39;NC
toux;3;4;0.35;NC
pierre;3;6;383.13;NP
montrer;3;7;36.80;VER
sauter;3;6;80.57;VER
myrtille;3;8;#N/A;#N/A
leur;4;4;537.29;DET
couleur;4;7;251.44;NC
vieux;4;5;365.75;ADJ
radeau;4;6;0.15;NC
cœur;4;4;236.09;NC
sœur;4;4;277.64;NC
œuf;4;3;321.25;NC
vœu;4;3;25.20;NC
nœud;4;4;200.16;NC
résoudre;4;8;#N/A;#N/A
gagner;4;6;100.11;VER
souvent;4;7;182.68;ADV
classe;4;6;311.41;NC
cheveux;4;7;318.65;NC
dizaine;4;7;8.35;NC
dessiner;4;8;65.84;VER
emmener;4;7;16.35;VER
déranger;4;8;8.45;VER
insister;4;8;0.35;VER
matériel;4;8;44.29;NC
artiste;4;7;5.36;NC
encre;4;5;34.12;NC
heure;4;5;277.48;NC
trophée;4;7;#N/A;#N/A
respirer;4;8;13.36;VER
trompe;4;6;50.58;NC
typhon;4;6;#N/A;#N/A
tempête;4;7;128.13;NC
tropical;4;8;#N/A;#N/A
puissant;4;8;1.05;ADJ
dégât;4;5;#N/A;#N/A
heureux;4;7;317.65;ADJ
vrille;4;6;#N/A;#N/A
escapade;4;8;#N/A;#N/A
comment;4;7;274.03;ADV
coincer;4;7;#N/A;#N/A
plonger;4;7;16.20;VER
étroit;4;6;10.69;ADJ
créature;4;8;0.61;NC
étonnant;4;8;3.85;ADJ
nageoire;4;8;13.65;NC
rassurer;4;8;#N/A;#N/A
certain;4;7;8.28;ADJ
exotique;4;8;0.35;ADJ
étoile;4;6;172.61;NC
spécial;4;7;32.66;ADJ
broyer;4;6;#N/A;#N/A
large;4;5;3.95;ADJ
payer;4;5;88.61;VER
balayer;4;7;8.25;VER
frayeur;4;7;1.13;NC
araignée;4;8;62.87;NC
faufiler;4;8;0.50;VER
dense;4;5;#N/A;#N/A
met;4;3;678.55;VER
miel;4;4;147.40;NC
peigne;4;6;77.32;NC
pleine;4;6;96.06;ADJ
sereine;4;7;#N/A;#N/A
freiner;4;7;0.62;VER
veine;4;5;#N/A;#N/A
seiche;4;6;#N/A;#N/A
serein;4;6;#N/A;#N/A
peigner;4;7;#N/A;#N/A
caille;4;6;0.43;NC
rail;4;4;8.25;NC
sommeil;4;7;96.10;NC
conseil;4;7;65.06;NC
oreille;4;7;116.60;NC
feuille;4;7;246.03;NC
fauteuil;4;8;150.59;NC
écureuil;4;8;157.53;NC
cuillère;4;8;43.75;NC
rouille;4;7;13.54;NC
manière;4;7;3.96;NC
initiale;4;8;#N/A;#N/A
planter;4;7;5.57;VER
question;4;8;58.24;NC
visible;4;7;#N/A;#N/A
lustre;4;6;13.14;NC
promener;4;8;50.39;VER
reflet;4;6;0.61;NC
baigner;4;7;3.84;VER
mystère;4;7;0.15;NC
yéti;4;4;#N/A;#N/A
gruyère;4;7;21.99;NC
yaourt;4;6;54.48;NC
cyclope;4;7;#N/A;#N/A
foraine;4;7;1.21;ADJ
réparer;4;7;29.86;VER
paisible;4;8;#N/A;#N/A
crémeux;4;7;#N/A;#N/A
mythe;4;5;#N/A;#N/A
épais;4;5;22.43;ADJ
effrayer;4;8;3.90;VER
kiwi;4;4;#N/A;#N/A
wagon;4;5;40.09;NC
trapu;4;5;#N/A;#N/A
fourrure;4;8;69.95;NC
tanière;4;7;#N/A;#N/A
nocturne;4;8;#N/A;#N/A
arrière;4;7;55.10;NC
rivière;4;7;466.50;NC
joyeux;4;6;168.89;ADJ
menace;4;6;#N/A;#N/A
effroi;4;6;#N/A;#N/A
astuce;4;6;#N/A;#N/A
déroute;4;7;#N/A;#N/A
victoire;4;8;1.25;NC
curieux;4;7;58.81;ADJ
