ORTHO;PERIODE;NBLET;CP_U;GRAM;freq_CP;nblet_mot;CV_ortho;CV_phono;is_easy_vc
fini;1;4;140.55;VER;frequents;court;CVCV;CVCV;1
finir;1;5;35.66;VER;rares;court;CVCVC;CVCVC;0
fort;1;4;307.68;ADV;frequents;court;CVCC;CVC;0
four;1;4;101.63;NC;frequents;court;CVVC;CVC;0
fume;1;4;50.42;VER;frequents;court;CVCV;CVC;1
affiche;1;7;48.13;NC;frequents;long;VCCVCCV;VCVC;0
char;1;4;24.87;NC;rares;court;CCVC;CVC;0
chasse;1;6;36.73;NC;rares;long;CCVCCV;CVC;0
chassé;1;6;0.52;VER;rares;long;CCVCCV;CVCV;0
chat;1;4;1714.06;NC;frequents;court;CCVC;CV;0
cheval;1;6;292.77;NC;frequents;long;CCVCVC;CVCVC;0
chou;1;4;109.79;NC;frequents;court;CCVV;CV;0
machine;1;7;118.01;NC;frequents;long;CVCCVCV;CVCVC;0
marché;1;6;73.23;NC;frequents;long;CVCCCV;CVCCV;0
mouche;1;6;32.52;NC;rares;long;CVVCCV;CVC;0
niche;1;5;131.88;NC;frequents;court;CVCCV;CVC;0
riche;1;5;31.77;ADJ;rares;court;CVCCV;CVC;0
roche;1;5;0.62;NC;rares;court;CVCCV;CVC;0
ruche;1;5;36.73;NC;rares;court;CVCCV;CVC;0
vache;1;5;176.26;NC;frequents;court;CVCCV;CVC;0
jaloux;1;6;8.26;ADJ;rares;long;CVCVVC;CVCV;0
joli;1;4;240.27;ADJ;frequents;court;CVCV;CVCV;1
joué;1;4;90.44;VER;frequents;court;CVVV;CYV;0
jour;1;4;858.94;NC;frequents;court;CVVC;CVC;0
journal;1;7;205.42;NC;frequents;long;CVVCCVC;CVCCVC;0
journée;1;7;223.31;NC;frequents;long;CVVCCVV;CVCCV;0
jus;1;3;121.11;NC;frequents;court;CVC;CV;0
séjour;1;6;13.45;NC;rares;long;CVCVVC;CVCVC;0
adore;1;5;39.44;VER;rares;court;VCVCV;VCVC;1
dame;1;4;104.66;NC;frequents;court;CVCV;CVC;1
de;1;2;25056.03;PRE;frequents;court;CV;CV;0
dé;1;2;21.62;NC;rares;court;CV;CV;0
déchiré;1;7;3.84;VER;rares;long;CVCCVCV;CVCVCV;0
demi;1;4;3.84;ADV;rares;court;CVCV;CVCV;1
dessus;1;6;59.96;ADV;frequents;long;CVCCVC;CVCV;0
dire;1;4;267.3;VER;frequents;court;CVCV;CVC;1
do;1;2;22.47;NC;rares;court;CV;CV;0
domino;1;6;42.6;NC;frequents;long;CVCVCV;CVCVCV;1
doré;1;4;22.91;ADJ;rares;court;CVCV;CVCV;1
dormir;1;6;104.63;VER;frequents;long;CVCCVC;CVCCVC;0
dos;1;3;362.61;NC;frequents;court;CVC;CV;0
douche;1;6;46.7;NC;frequents;long;CVVCCV;CVC;0
doux;1;4;70.22;ADJ;frequents;court;CVVC;CV;0
du;1;2;6517.12;DET;frequents;court;CV;CV;0
dur;1;3;53.97;ADJ;frequents;court;CVC;CVC;0
foudre;1;6;1.83;NC;rares;long;CVVCCV;CVCC;0
idée;1;4;273.93;NC;frequents;court;VCVV;VCV;0
judo;1;4;41.47;NC;frequents;court;CVCV;CVCV;1
lundi;1;5;70.22;NC;frequents;court;CVCCV;CVCV;0
madame;1;6;273.93;NC;frequents;long;CVCVCV;CVCVC;1
malade;1;6;188.11;ADJ;frequents;long;CVCVCV;CVCVC;1
mardi;1;5;102.27;NC;frequents;court;CVCCV;CVCCV;0
midi;1;4;179.53;NC;frequents;court;CVCV;CVCV;1
radio;1;5;54.11;NC;frequents;court;CVCVV;CVCYV;0
radis;1;5;131.21;NC;frequents;court;CVCVC;CVCV;0
salade;1;6;296.16;NC;frequents;long;CVCVCV;CVCVC;1
solide;1;6;45.3;ADJ;frequents;long;CVCVCV;CVCVC;1
sud;1;3;10.67;NC;rares;court;CVC;CVC;0
chuchoté;1;8;1.01;VER;rares;long;CCVCCVCV;CVCVCV;0
chute;1;5;3.72;NC;rares;court;CCVCV;CVC;0
date;1;4;25.92;NC;rares;court;CVCV;CVC;1
été;1;3;295.02;VER;frequents;court;VCV;VCV;1
loto;1;4;81.43;NC;frequents;court;CVCV;CVCV;1
métal;1;5;1.05;NC;rares;court;CVCVC;CVCVC;0
météo;1;5;7.6;NC;rares;court;CVCVV;CVCVV;0
minute;1;6;42.68;NC;frequents;long;CVCVCV;CVCVC;1
moto;1;4;259.6;NC;frequents;court;CVCV;CVCV;1
nature;1;6;40.69;NC;frequents;long;CVCVCV;CVCVC;1
noté;1;4;3.97;VER;rares;court;CVCV;CVCV;1
notre;1;5;228.92;DET;frequents;court;CVCCV;CVCC;0
route;1;5;423.93;NC;frequents;court;CVVCV;CVC;0
ta;1;2;378.88;DET;frequents;court;CV;CV;0
tache;1;5;50.13;NC;frequents;court;CVCCV;CVC;0
tarte;1;5;240.05;NC;frequents;court;CVCCV;CVCC;0
tartine;1;7;32.89;NC;rares;long;CVCCVCV;CVCCVC;0
tasse;1;5;109.63;NC;frequents;court;CVCCV;CVC;0
te;1;2;873.39;PRO;frequents;court;CV;CV;0
télé;1;4;51.69;NC;frequents;court;CVCV;CVCV;1
tir;1;3;21.94;NC;rares;court;CVC;CVC;0
tissu;1;5;70.34;NC;frequents;court;CVCCV;CVCV;0
tomate;1;6;47.33;NC;frequents;long;CVCVCV;CVCVC;1
tortue;1;6;515.09;NC;frequents;long;CVCCVV;CVCCV;0
toujours;1;8;485.48;ADV;frequents;long;CVVCVVCC;CVCVC;0
tour;1;4;306.76;NC;frequents;court;CVVC;CVC;0
tousse;1;6;38.11;VER;rares;long;CVVCCV;CVC;0
triste;1;6;111.25;ADJ;frequents;long;CCVCCV;CCVCC;0
trou;1;4;195.23;NC;frequents;court;CCVV;CCV;0
trousse;1;7;50.59;NC;frequents;long;CCVVCCV;CCVC;0
tu;1;2;5467.58;PRO;frequents;court;CV;CV;0
vite;1;4;1365.09;ADV;frequents;court;CVCV;CVC;1
votre;1;5;249.57;DET;frequents;court;CVCCV;CVCC;0
départ;1;6;215.91;NC;frequents;long;CVCVCC;CVCVC;0
épi;1;3;43.23;NC;frequents;court;VCV;VCV;1
jupe;1;4;122.04;NC;frequents;court;CVCV;CVC;1
papa;1;4;1269.72;NC;frequents;court;CVCV;CVCV;1
par;1;3;1217.79;PRE;frequents;court;CVC;CVC;0
parti;1;5;36.79;VER;rares;court;CVCCV;CVCCV;0
pas;1;3;5110.42;ADV;frequents;court;CVC;CV;0
passé;1;5;3.96;ADJ;rares;court;CVCCV;CVCV;0
