stimulus;nblettres;freqlemfilms2;ifreq;wtype;word;correct_answer_tablette;correct_answer;type
casque;6;15.42;2;0;casque;1;m;word
boiter;6;15.43;2;0;boiter;1;m;word
botter;6;15.54;2;0;botter;1;m;word
muscle;6;15.61;2;0;muscle;1;m;word
temple;6;15.69;2;0;temple;1;m;word
panier;6;15.72;2;0;panier;1;m;word
percer;6;15.77;2;0;percer;1;m;word
intime;6;15.78;2;0;intime;1;m;word
abîmer;6;15.83;2;0;abîmer;1;m;word
fonder;6;15.97;2;0;fonder;1;m;word
carton;6;16.01;2;0;carton;1;m;word
agneau;6;16.13;2;0;agneau;1;m;word
remède;6;16.14;2;0;remède;1;m;word
timide;6;16.36;2;0;timide;1;m;word
flotte;6;16.36;2;0;flotte;1;m;word
cachet;6;16.46;2;0;cachet;1;m;word
jungle;6;16.47;2;0;jungle;1;m;word
séjour;6;16.6;2;0;séjour;1;m;word
poumon;6;16.65;2;0;poumon;1;m;word
rocher;6;16.97;2;0;rocher;1;m;word
veille;6;17.07;2;0;veille;1;m;word
cigare;6;17.15;2;0;cigare;1;m;word
cendre;6;17.18;2;0;cendre;1;m;word
humour;6;17.22;2;0;humour;1;m;word
absolu;6;17.25;2;0;absolu;1;m;word
fondre;6;17.32;2;0;fondre;1;m;word
sommet;6;17.44;2;0;sommet;1;m;word
saleté;6;17.55;2;0;saleté;1;m;word
envier;6;17.79;2;0;envier;1;m;word
casier;6;17.81;2;0;casier;1;m;word
pourri;6;18.09;2;0;pourri;1;m;word
bougie;6;18.32;2;0;bougie;1;m;word
défaut;6;18.36;2;0;défaut;1;m;word
réveil;6;18.43;2;0;réveil;1;m;word
canapé;6;18.58;2;0;canapé;1;m;word
fameux;6;18.67;2;0;fameux;1;m;word
comité;6;18.72;2;0;comité;1;m;word
fumier;6;18.74;2;0;fumier;1;m;word
misère;6;18.77;2;0;misère;1;m;word
boucle;6;18.86;2;0;boucle;1;m;word
poésie;6;19.07;2;0;poésie;1;m;word
rideau;6;19.11;2;0;rideau;1;m;word
tunnel;6;19.24;2;0;tunnel;1;m;word
alarme;6;19.29;2;0;alarme;1;m;word
régime;6;19.43;2;0;régime;1;m;word
empire;6;19.47;2;0;empire;1;m;word
sécher;6;19.49;2;0;sécher;1;m;word
statue;6;19.5;2;0;statue;1;m;word
bourse;6;19.66;2;0;bourse;1;m;word
bandit;6;19.7;2;0;bandit;1;m;word
poison;6;19.76;2;0;poison;1;m;word
couche;6;19.95;2;0;couche;1;m;word
oignon;6;19.98;2;0;oignon;1;m;word
abuser;6;20;2;0;abuser;1;m;word
cabine;6;20;2;0;cabine;1;m;word
ruiner;6;20.39;2;0;ruiner;1;m;word
rythme;6;20.43;2;0;rythme;1;m;word
plaque;6;20.48;2;0;plaque;1;m;word
tester;6;20.66;2;0;tester;1;m;word
vilain;6;20.67;2;0;vilain;1;m;word
tomate;6;20.77;2;0;tomate;1;m;word
fleuve;6;21.58;2;0;fleuve;1;m;word
anneau;6;21.61;2;0;anneau;1;m;word
tendre;6;21.66;2;0;tendre;1;m;word
solide;6;21.71;2;0;solide;1;m;word
cercle;6;21.77;2;0;cercle;1;m;word
piéger;6;21.77;2;0;piéger;1;m;word
salade;6;21.8;2;0;salade;1;m;word
plante;6;21.86;2;0;plante;1;m;word
direct;6;21.89;2;0;direct;1;m;word
navire;6;21.98;2;0;navire;1;m;word
phrase;6;22.01;2;0;phrase;1;m;word
rumeur;6;22.11;2;0;rumeur;1;m;word
indice;6;22.13;2;0;indice;1;m;word
pilule;6;22.64;2;0;pilule;1;m;word
chérir;6;22.66;2;0;chérir;1;m;word
régner;6;22.75;2;0;régner;1;m;word
séance;6;22.91;2;0;séance;1;m;word
charme;6;22.92;2;0;charme;1;m;word
poudre;6;23.11;2;0;poudre;1;m;word
agence;6;23.15;2;0;agence;1;m;word
cancer;6;23.15;2;0;cancer;1;m;word
cirque;6;23.25;2;0;cirque;1;m;word
patrie;6;23.36;2;0;patrie;1;m;word
bonbon;6;23.45;2;0;bonbon;1;m;word
auteur;6;23.52;2;0;auteur;1;m;word
canard;6;23.85;2;0;canard;1;m;word
exprès;6;24.06;2;0;exprès;1;m;word
priver;6;24.06;2;0;priver;1;m;word
ticket;6;24.25;2;0;ticket;1;m;word
remuer;6;24.42;2;0;remuer;1;m;word
songer;6;24.59;2;0;songer;1;m;word
fidèle;6;24.61;2;0;fidèle;1;m;word
mouche;6;24.65;2;0;mouche;1;m;word
écoute;6;24.73;2;0;écoute;1;m;word
manque;6;24.77;2;0;manque;1;m;word
guider;6;24.79;2;0;guider;1;m;word
nation;6;24.8;2;0;nation;1;m;word
fièvre;6;25;2;0;fièvre;1;m;word
commun;6;25.08;2;0;commun;1;m;word
figure;6;25.18;2;0;figure;1;m;word
mandat;6;25.25;2;0;mandat;1;m;word
lutter;6;25.41;2;0;lutter;1;m;word
méfier;6;26.68;2;0;méfier;1;m;word
barrer;6;26.71;2;0;barrer;1;m;word
flamme;6;26.93;2;0;flamme;1;m;word
cogner;6;27.01;2;0;cogner;1;m;word
espion;6;27.57;2;0;espion;1;m;word
poupée;6;27.59;2;0;poupée;1;m;word
studio;6;27.77;2;0;studio;1;m;word
région;6;28.16;2;0;région;1;m;word
crédit;6;28.21;2;0;crédit;1;m;word
miroir;6;28.35;2;0;miroir;1;m;word
tarder;6;28.36;2;0;tarder;1;m;word
masque;6;29.18;2;0;masque;1;m;word
ménage;6;29.46;2;0;ménage;1;m;word
palais;6;29.55;2;0;palais;1;m;word
opérer;6;29.59;2;0;opérer;1;m;word
dessin;6;29.6;2;0;dessin;1;m;word
bagage;6;29.69;2;0;bagage;1;m;word
parfum;6;30;2;0;parfum;1;m;word
whisky;6;30.2;2;0;whisky;1;m;word
foncer;6;30.27;2;0;foncer;1;m;word
menace;6;30.36;2;0;menace;1;m;word
fiston;6;30.43;2;0;fiston;1;m;word
double;6;30.46;2;0;double;1;m;word
troupe;6;30.93;2;0;troupe;1;m;word
emploi;6;30.94;2;0;emploi;1;m;word
verser;6;31.2;2;0;verser;1;m;word
humeur;6;31.26;2;0;humeur;1;m;word
précis;6;31.59;2;0;précis;1;m;word
sombre;6;31.86;2;0;sombre;1;m;word
saison;6;31.95;2;0;saison;1;m;word
chèque;6;32.03;2;0;chèque;1;m;word
mesure;6;32.15;2;0;mesure;1;m;word
épaule;6;32.41;2;0;épaule;1;m;word
bouton;6;32.44;2;0;bouton;1;m;word
prière;6;32.73;2;0;prière;1;m;word
limite;6;32.77;2;0;limite;1;m;word
charge;6;32.86;2;0;charge;1;m;word
ballon;6;32.92;2;0;ballon;1;m;word
hurler;6;33.17;2;0;hurler;1;m;word
réagir;6;33.19;2;0;réagir;1;m;word
disque;6;33.61;2;0;disque;1;m;word
social;6;34.4;2;0;social;1;m;word
exiger;6;34.96;2;0;exiger;1;m;word
gloire;6;35.27;2;0;gloire;1;m;word
avaler;6;35.89;2;0;avaler;1;m;word
douche;6;36.06;2;0;douche;1;m;word
faveur;6;36.65;2;0;faveur;1;m;word
amitié;6;36.69;2;0;amitié;1;m;word
saisir;6;36.81;2;0;saisir;1;m;word
savoir;6;37.32;2;0;savoir;1;m;word
venger;6;37.73;2;0;venger;1;m;word
caisse;6;38.03;2;0;caisse;1;m;word
minuit;6;38.51;2;0;minuit;1;m;word
faible;6;38.78;2;0;faible;1;m;word
chaîne;6;38.8;2;0;chaîne;1;m;word
bêtise;6;39.31;2;0;bêtise;1;m;word
coffre;6;39.35;2;0;coffre;1;m;word
succès;6;39.58;2;0;succès;1;m;word
signal;6;39.61;2;0;signal;1;m;word
former;6;39.69;2;0;former;1;m;word
voiler;6;39.78;2;0;voiler;1;m;word
joyeux;6;39.89;2;0;joyeux;1;m;word
ouvert;6;39.97;2;0;ouvert;1;m;word
caillou;7;10.02;2;0;caillou;1;m;word
serrure;7;10.07;2;0;serrure;1;m;word
débuter;7;10.08;2;0;débuter;1;m;word
courant;7;10.13;2;0;courant;1;m;word
élégant;7;10.13;2;0;élégant;1;m;word
diviser;7;10.14;2;0;diviser;1;m;word
tambour;7;10.2;2;0;tambour;1;m;word
caporal;7;10.22;2;0;caporal;1;m;word
cristal;7;10.22;2;0;cristal;1;m;word
tombeau;7;10.22;2;0;tombeau;1;m;word
vaurien;7;10.22;2;0;vaurien;1;m;word
circuit;7;10.23;2;0;circuit;1;m;word
plafond;7;10.34;2;0;plafond;1;m;word
revivre;7;10.37;2;0;revivre;1;m;word
parrain;7;10.37;2;0;parrain;1;m;word
souhait;7;10.41;2;0;souhait;1;m;word
complot;7;10.45;2;0;complot;1;m;word
coutume;7;10.46;2;0;coutume;1;m;word
coupure;7;10.48;2;0;coupure;1;m;word
brûlant;7;10.48;2;0;brûlant;1;m;word
horloge;7;10.48;2;0;horloge;1;m;word
insulte;7;10.49;2;0;insulte;1;m;word
attrape;7;10.55;2;0;attrape;1;m;word
grossir;7;10.57;2;0;grossir;1;m;word
évoluer;7;10.6;2;0;évoluer;1;m;word
modeste;7;10.64;2;0;modeste;1;m;word
briquet;7;10.64;2;0;briquet;1;m;word
taureau;7;10.82;2;0;taureau;1;m;word
défiler;7;10.82;2;0;défiler;1;m;word
caution;7;10.88;2;0;caution;1;m;word
chameau;7;10.99;2;0;chameau;1;m;word
dessous;7;11.01;2;0;dessous;1;m;word
dizaine;7;11.08;2;0;dizaine;1;m;word
fichier;7;11.1;2;0;fichier;1;m;word
limiter;7;11.19;2;0;limiter;1;m;word
crapaud;7;11.3;2;0;crapaud;1;m;word
exclure;7;11.32;2;0;exclure;1;m;word
enfiler;7;11.42;2;0;enfiler;1;m;word
plaider;7;11.46;2;0;plaider;1;m;word
obséder;7;11.53;2;0;obséder;1;m;word
orgueil;7;11.56;2;0;orgueil;1;m;word
évoquer;7;11.57;2;0;évoquer;1;m;word
collège;7;11.58;2;0;collège;1;m;word
antenne;7;11.59;2;0;antenne;1;m;word
menotte;7;11.65;2;0;menotte;1;m;word
anonyme;7;11.65;2;0;anonyme;1;m;word
grenade;7;11.67;2;0;grenade;1;m;word
sublime;7;11.74;2;0;sublime;1;m;word
octobre;7;11.78;2;0;octobre;1;m;word
essuyer;7;11.82;2;0;essuyer;1;m;word
réciter;7;11.89;2;0;réciter;1;m;word
hériter;7;11.93;2;0;hériter;1;m;word
colonne;7;11.95;2;0;colonne;1;m;word
juillet;7;11.97;2;0;juillet;1;m;word
aspirer;7;12.07;2;0;aspirer;1;m;word
extrême;7;12.08;2;0;extrême;1;m;word
classer;7;12.11;2;0;classer;1;m;word
gratter;7;12.11;2;0;gratter;1;m;word
routine;7;12.14;2;0;routine;1;m;word
balayer;7;12.17;2;0;balayer;1;m;word
facteur;7;12.26;2;0;facteur;1;m;word
baraque;7;12.27;2;0;baraque;1;m;word
défaire;7;12.3;2;0;défaire;1;m;word
flatter;7;12.36;2;0;flatter;1;m;word
plaquer;7;12.46;2;0;plaquer;1;m;word
frotter;7;12.52;2;0;frotter;1;m;word
formule;7;12.53;2;0;formule;1;m;word
aborder;7;12.55;2;0;aborder;1;m;word
recette;7;12.56;2;0;recette;1;m;word
activer;7;12.58;2;0;activer;1;m;word
marteau;7;12.63;2;0;marteau;1;m;word
panneau;7;12.67;2;0;panneau;1;m;word
biscuit;7;12.72;2;0;biscuit;1;m;word
détenir;7;12.73;2;0;détenir;1;m;word
ancêtre;7;12.75;2;0;ancêtre;1;m;word
flotter;7;12.79;2;0;flotter;1;m;word
emparer;7;12.8;2;0;emparer;1;m;word
assumer;7;12.83;2;0;assumer;1;m;word
altesse;7;12.93;2;0;altesse;1;m;word
empirer;7;12.93;2;0;empirer;1;m;word
torture;7;12.94;2;0;torture;1;m;word
suspect;7;12.95;2;0;suspect;1;m;word
siffler;7;13.04;2;0;siffler;1;m;word
tolérer;7;13.05;2;0;tolérer;1;m;word
interne;7;13.15;2;0;interne;1;m;word
droguer;7;13.15;2;0;droguer;1;m;word
piloter;7;13.18;2;0;piloter;1;m;word
paysage;7;13.19;2;0;paysage;1;m;word
tailler;7;13.28;2;0;tailler;1;m;word
fiancer;7;13.3;2;0;fiancer;1;m;word
demeure;7;13.34;2;0;demeure;1;m;word
planche;7;13.37;2;0;planche;1;m;word
dessert;7;13.4;2;0;dessert;1;m;word
endormi;7;13.43;2;0;endormi;1;m;word
adapter;7;13.44;2;0;adapter;1;m;word
bouquin;7;13.49;2;0;bouquin;1;m;word
vedette;7;13.55;2;0;vedette;1;m;word
choquer;7;13.56;2;0;choquer;1;m;word
sagesse;7;13.58;2;0;sagesse;1;m;word
poignée;7;13.61;2;0;poignée;1;m;word
soudain;7;13.62;2;0;soudain;1;m;word
délirer;7;13.73;2;0;délirer;1;m;word
pénible;7;13.75;2;0;pénible;1;m;word
charité;7;13.75;2;0;charité;1;m;word
insecte;7;13.79;2;0;insecte;1;m;word
conflit;7;13.79;2;0;conflit;1;m;word
mondial;7;13.79;2;0;mondial;1;m;word
accueil;7;13.83;2;0;accueil;1;m;word
pétrole;7;13.84;2;0;pétrole;1;m;word
guitare;7;13.86;2;0;guitare;1;m;word
fédéral;7;13.92;2;0;fédéral;1;m;word
traquer;7;13.97;2;0;traquer;1;m;word
oxygène;7;14.03;2;0;oxygène;1;m;word
arroser;7;14.07;2;0;arroser;1;m;word
échelle;7;14.09;2;0;échelle;1;m;word
griller;7;14.2;2;0;griller;1;m;word
chariot;7;14.4;2;0;chariot;1;m;word
logique;7;14.4;2;0;logique;1;m;word
figurer;7;14.41;2;0;figurer;1;m;word
auberge;7;14.44;2;0;auberge;1;m;word
exercer;7;14.53;2;0;exercer;1;m;word
larguer;7;14.61;2;0;larguer;1;m;word
symbole;7;14.95;2;0;symbole;1;m;word
claquer;7;15.13;2;0;claquer;1;m;word
terreur;7;15.18;2;0;terreur;1;m;word
adopter;7;15.18;2;0;adopter;1;m;word
suprême;7;15.26;2;0;suprême;1;m;word
soupçon;7;15.53;2;0;soupçon;1;m;word
discret;7;15.61;2;0;discret;1;m;word
dominer;7;15.66;2;0;dominer;1;m;word
braquer;7;15.68;2;0;braquer;1;m;word
galerie;7;15.69;2;0;galerie;1;m;word
congrès;7;15.77;2;0;congrès;1;m;word
lecture;7;15.8;2;0;lecture;1;m;word
tremper;7;15.88;2;0;tremper;1;m;word
fragile;7;15.89;2;0;fragile;1;m;word
tricher;7;16.16;2;0;tricher;1;m;word
panique;7;16.23;2;0;panique;1;m;word
hommage;7;16.45;2;0;hommage;1;m;word
séduire;7;16.48;2;0;séduire;1;m;word
gonfler;7;16.52;2;0;gonfler;1;m;word
dispute;7;16.54;2;0;dispute;1;m;word
brigade;7;16.65;2;0;brigade;1;m;word
baleine;7;16.68;2;0;baleine;1;m;word
langage;7;16.68;2;0;langage;1;m;word
marquis;7;16.69;2;0;marquis;1;m;word
missile;7;16.7;2;0;missile;1;m;word
douceur;7;16.87;2;0;douceur;1;m;word
féminin;7;16.88;2;0;féminin;1;m;word
pencher;7;16.9;2;0;pencher;1;m;word
automne;7;16.91;2;0;automne;1;m;word
atelier;7;16.95;2;0;atelier;1;m;word
matière;7;16.99;2;0;matière;1;m;word
peintre;7;17.02;2;0;peintre;1;m;word
plateau;7;17.17;2;0;plateau;1;m;word
positif;7;17.27;2;0;positif;1;m;word
diplôme;7;17.27;2;0;diplôme;1;m;word
épisode;7;17.32;2;0;épisode;1;m;word
envahir;7;17.37;2;0;envahir;1;m;word
arrière;7;17.38;2;0;arrière;1;m;word
évacuer;7;17.61;2;0;évacuer;1;m;word
patient;7;17.66;2;0;patient;1;m;word
pasteur;7;17.74;2;0;pasteur;1;m;word
dresser;7;17.88;2;0;dresser;1;m;word
cravate;7;17.92;2;0;cravate;1;m;word
branche;7;18.07;2;0;branche;1;m;word
opposer;7;18.2;2;0;opposer;1;m;word
parking;7;18.23;2;0;parking;1;m;word
progrès;7;18.52;2;0;progrès;1;m;word
boisson;7;18.55;2;0;boisson;1;m;word
démolir;7;18.81;2;0;démolir;1;m;word
soutien;7;18.87;2;0;soutien;1;m;word
secouer;7;19;2;0;secouer;1;m;word
contrer;7;19.15;2;0;contrer;1;m;word
correct;7;19.24;2;0;correct;1;m;word
bagarre;7;19.24;2;0;bagarre;1;m;word
sincère;7;19.51;2;0;sincère;1;m;word
mesurer;7;19.65;2;0;mesurer;1;m;word
drapeau;7;19.69;2;0;drapeau;1;m;word
dévorer;7;19.7;2;0;dévorer;1;m;word
tempête;7;19.73;2;0;tempête;1;m;word
collier;7;19.91;2;0;collier;1;m;word
hauteur;7;19.99;2;0;hauteur;1;m;word
version;7;20.09;2;0;version;1;m;word
liaison;7;20.34;2;0;liaison;1;m;word
section;7;20.34;2;0;section;1;m;word
légende;7;20.41;2;0;légende;1;m;word
diamant;7;20.56;2;0;diamant;1;m;word
appétit;7;20.98;2;0;appétit;1;m;word
réjouir;7;21.02;2;0;réjouir;1;m;word
publier;7;21.07;2;0;publier;1;m;word
réserve;7;21.11;2;0;réserve;1;m;word
serment;7;21.19;2;0;serment;1;m;word
craquer;7;21.23;2;0;craquer;1;m;word
tension;7;21.28;2;0;tension;1;m;word
moderne;7;21.3;2;0;moderne;1;m;word
chinois;7;21.34;2;0;chinois;1;m;word
renfort;7;21.41;2;0;renfort;1;m;word
estimer;7;21.41;2;0;estimer;1;m;word
placard;7;21.47;2;0;placard;1;m;word
immense;7;21.56;2;0;immense;1;m;word
domaine;7;21.57;2;0;domaine;1;m;word
étendre;7;21.9;2;0;étendre;1;m;word
cabinet;7;21.97;2;0;cabinet;1;m;word
bourrer;7;22.11;2;0;bourrer;1;m;word
exposer;7;22.42;2;0;exposer;1;m;word
soucier;7;22.45;2;0;soucier;1;m;word
délicat;7;22.52;2;0;délicat;1;m;word
facture;7;22.61;2;0;facture;1;m;word
culture;7;22.65;2;0;culture;1;m;word
honorer;7;22.65;2;0;honorer;1;m;word
surface;7;22.7;2;0;surface;1;m;word
absence;7;22.86;2;0;absence;1;m;word
pourrir;7;22.86;2;0;pourrir;1;m;word
achever;7;22.97;2;0;achever;1;m;word
rejeter;7;23.16;2;0;rejeter;1;m;word
divorce;7;23.23;2;0;divorce;1;m;word
analyse;7;23.26;2;0;analyse;1;m;word
épreuve;7;23.43;2;0;épreuve;1;m;word
estomac;7;23.56;2;0;estomac;1;m;word
absurde;7;23.59;2;0;absurde;1;m;word
imposer;7;23.62;2;0;imposer;1;m;word
piscine;7;23.62;2;0;piscine;1;m;word
annonce;7;23.76;2;0;annonce;1;m;word
bagnole;7;23.93;2;0;bagnole;1;m;word
élément;7;24.03;2;0;élément;1;m;word
gratuit;7;24.28;2;0;gratuit;1;m;word
balader;7;24.3;2;0;balader;1;m;word
boucler;7;24.61;2;0;boucler;1;m;word
sauvage;7;24.68;2;0;sauvage;1;m;word
écarter;7;24.83;2;0;écarter;1;m;word
méthode;7;24.87;2;0;méthode;1;m;word
attente;7;25.07;2;0;attente;1;m;word
creuser;7;25.11;2;0;creuser;1;m;word
épuiser;7;25.41;2;0;épuiser;1;m;word
période;7;25.65;2;0;période;1;m;word
fournir;7;25.67;2;0;fournir;1;m;word
émotion;7;26.33;2;0;émotion;1;m;word
établir;7;26.38;2;0;établir;1;m;word
colline;7;26.39;2;0;colline;1;m;word
baigner;7;26.42;2;0;baigner;1;m;word
salaire;7;26.43;2;0;salaire;1;m;word
secteur;7;26.5;2;0;secteur;1;m;word
souffle;7;26.98;2;0;souffle;1;m;word
fromage;7;27.22;2;0;fromage;1;m;word
repérer;7;27.23;2;0;repérer;1;m;word
vampire;7;27.27;2;0;vampire;1;m;word
chiffre;7;27.28;2;0;chiffre;1;m;word
monnaie;7;27.31;2;0;monnaie;1;m;word
suicide;7;27.33;2;0;suicide;1;m;word
sergent;7;27.36;2;0;sergent;1;m;word
royaume;7;27.79;2;0;royaume;1;m;word
vaincre;7;27.84;2;0;vaincre;1;m;word
réduire;7;27.88;2;0;réduire;1;m;word
cracher;7;27.93;2;0;cracher;1;m;word
exciter;7;28.01;2;0;exciter;1;m;word
mystère;7;28.03;2;0;mystère;1;m;word
origine;7;28.07;2;0;origine;1;m;word
décrire;7;28.31;2;0;décrire;1;m;word
suivant;7;28.81;2;0;suivant;1;m;word
envoler;7;28.82;2;0;envoler;1;m;word
croiser;7;28.84;2;0;croiser;1;m;word
briller;7;28.91;2;0;briller;1;m;word
effacer;7;29.02;2;0;effacer;1;m;word
qualité;7;29.13;2;0;qualité;1;m;word
couloir;7;29.17;2;0;couloir;1;m;word
complet;7;29.19;2;0;complet;1;m;word
amusant;7;29.36;2;0;amusant;1;m;word
citoyen;7;29.6;2;0;citoyen;1;m;word
station;7;29.71;2;0;station;1;m;word
hésiter;7;30.06;2;0;hésiter;1;m;word
feuille;7;30.1;2;0;feuille;1;m;word
éternel;7;30.53;2;0;éternel;1;m;word
échouer;7;30.62;2;0;échouer;1;m;word
avertir;7;30.8;2;0;avertir;1;m;word
médical;7;31.48;2;0;médical;1;m;word
concert;7;31.65;2;0;concert;1;m;word
célèbre;7;31.67;2;0;célèbre;1;m;word
plonger;7;31.96;2;0;plonger;1;m;word
serpent;7;32.2;2;0;serpent;1;m;word
théorie;7;32.38;2;0;théorie;1;m;word
admirer;7;32.39;2;0;admirer;1;m;word
révéler;7;32.7;2;0;révéler;1;m;word
rivière;7;32.73;2;0;rivière;1;m;word
science;7;32.97;2;0;science;1;m;word
enfance;7;33.01;2;0;enfance;1;m;word
paradis;7;33.23;2;0;paradis;1;m;word
essence;7;33.24;2;0;essence;1;m;word
lunette;7;33.33;2;0;lunette;1;m;word
fortune;7;33.62;2;0;fortune;1;m;word
embêter;7;33.91;2;0;embêter;1;m;word
univers;7;34.21;2;0;univers;1;m;word
curieux;7;34.36;2;0;curieux;1;m;word
glisser;7;34.75;2;0;glisser;1;m;word
saigner;7;34.86;2;0;saigner;1;m;word
visiter;7;34.92;2;0;visiter;1;m;word
inquiet;7;34.96;2;0;inquiet;1;m;word
affreux;7;34.96;2;0;affreux;1;m;word
peindre;7;36.05;2;0;peindre;1;m;word
sourire;7;36.08;2;0;sourire;1;m;word
prudent;7;37.6;2;0;prudent;1;m;word
millier;7;37.94;2;0;millier;1;m;word
planter;7;38.29;2;0;planter;1;m;word
veiller;7;38.41;2;0;veiller;1;m;word
aveugle;7;38.53;2;0;aveugle;1;m;word
bloquer;7;38.62;2;0;bloquer;1;m;word
ajouter;7;38.88;2;0;ajouter;1;m;word
chaleur;7;39.13;2;0;chaleur;1;m;word
relever;7;39.49;2;0;relever;1;m;word
manteau;7;39.97;2;0;manteau;1;m;word
explorer;8;10;2;0;explorer;1;m;word
académie;8;10.03;2;0;académie;1;m;word
désigner;8;10.04;2;0;désigner;1;m;word
lointain;8;10.12;2;0;lointain;1;m;word
cocktail;8;10.27;2;0;cocktail;1;m;word
cultiver;8;10.3;2;0;cultiver;1;m;word
quantité;8;10.3;2;0;quantité;1;m;word
migraine;8;10.32;2;0;migraine;1;m;word
diffuser;8;10.33;2;0;diffuser;1;m;word
vulgaire;8;10.36;2;0;vulgaire;1;m;word
coiffure;8;10.46;2;0;coiffure;1;m;word
terrasse;8;10.57;2;0;terrasse;1;m;word
déprimer;8;10.61;2;0;déprimer;1;m;word
récolter;8;10.65;2;0;récolter;1;m;word
obstacle;8;10.65;2;0;obstacle;1;m;word
héritier;8;10.82;2;0;héritier;1;m;word
trottoir;8;10.87;2;0;trottoir;1;m;word
messager;8;10.87;2;0;messager;1;m;word
modifier;8;10.9;2;0;modifier;1;m;word
retomber;8;11.04;2;0;retomber;1;m;word
harceler;8;11.12;2;0;harceler;1;m;word
ambition;8;11.15;2;0;ambition;1;m;word
remarque;8;11.24;2;0;remarque;1;m;word
familier;8;11.3;2;0;familier;1;m;word
dérouler;8;11.37;2;0;dérouler;1;m;word
tonnerre;8;11.4;2;0;tonnerre;1;m;word
évidence;8;11.47;2;0;évidence;1;m;word
troupeau;8;11.48;2;0;troupeau;1;m;word
mouchoir;8;11.53;2;0;mouchoir;1;m;word
descente;8;11.59;2;0;descente;1;m;word
grossier;8;11.64;2;0;grossier;1;m;word
symptôme;8;11.64;2;0;symptôme;1;m;word
caravane;8;11.64;2;0;caravane;1;m;word
domicile;8;11.69;2;0;domicile;1;m;word
implorer;8;11.88;2;0;implorer;1;m;word
retarder;8;11.89;2;0;retarder;1;m;word
coopérer;8;11.91;2;0;coopérer;1;m;word
trancher;8;11.97;2;0;trancher;1;m;word
refermer;8;11.97;2;0;refermer;1;m;word
province;8;12.01;2;0;province;1;m;word
tragique;8;12.13;2;0;tragique;1;m;word
priorité;8;12.15;2;0;priorité;1;m;word
calculer;8;12.19;2;0;calculer;1;m;word
trinquer;8;12.21;2;0;trinquer;1;m;word
déplaire;8;12.23;2;0;déplaire;1;m;word
autopsie;8;12.23;2;0;autopsie;1;m;word
cheville;8;12.24;2;0;cheville;1;m;word
corriger;8;12.24;2;0;corriger;1;m;word
papillon;8;12.28;2;0;papillon;1;m;word
prophète;8;12.36;2;0;prophète;1;m;word
ambiance;8;12.37;2;0;ambiance;1;m;word
rétablir;8;12.38;2;0;rétablir;1;m;word
destiner;8;12.52;2;0;destiner;1;m;word
découper;8;12.71;2;0;découper;1;m;word
tabasser;8;12.71;2;0;tabasser;1;m;word
procurer;8;12.77;2;0;procurer;1;m;word
désastre;8;12.82;2;0;désastre;1;m;word
querelle;8;12.84;2;0;querelle;1;m;word
douzaine;8;12.89;2;0;douzaine;1;m;word
procéder;8;12.91;2;0;procéder;1;m;word
chantier;8;12.96;2;0;chantier;1;m;word
tendance;8;12.98;2;0;tendance;1;m;word
chapitre;8;13;2;0;chapitre;1;m;word
division;8;13.07;2;0;division;1;m;word
rajouter;8;13.09;2;0;rajouter;1;m;word
assommer;8;13.09;2;0;assommer;1;m;word
demeurer;8;13.18;2;0;demeurer;1;m;word
anéantir;8;13.18;2;0;anéantir;1;m;word
pratique;8;13.18;2;0;pratique;1;m;word
richesse;8;13.21;2;0;richesse;1;m;word
agresser;8;13.39;2;0;agresser;1;m;word
bracelet;8;13.45;2;0;bracelet;1;m;word
aussitôt;8;13.52;2;0;aussitôt;1;m;word
thérapie;8;13.63;2;0;thérapie;1;m;word
désordre;8;13.64;2;0;désordre;1;m;word
écriture;8;13.65;2;0;écriture;1;m;word
provenir;8;13.66;2;0;provenir;1;m;word
jalousie;8;13.67;2;0;jalousie;1;m;word
associer;8;13.67;2;0;associer;1;m;word
gendarme;8;13.67;2;0;gendarme;1;m;word
magicien;8;13.76;2;0;magicien;1;m;word
revanche;8;13.81;2;0;revanche;1;m;word
cueillir;8;13.84;2;0;cueillir;1;m;word
football;8;13.93;2;0;football;1;m;word
écrouler;8;13.98;2;0;écrouler;1;m;word
audience;8;14.02;2;0;audience;1;m;word
rarement;8;14.05;2;0;rarement;1;m;word
composer;8;14.07;2;0;composer;1;m;word
légitime;8;14.08;2;0;légitime;1;m;word
batterie;8;14.24;2;0;batterie;1;m;word
syndicat;8;14.25;2;0;syndicat;1;m;word
aiguille;8;14.34;2;0;aiguille;1;m;word
touriste;8;14.36;2;0;touriste;1;m;word
mélanger;8;14.36;2;0;mélanger;1;m;word
consoler;8;14.41;2;0;consoler;1;m;word
bouclier;8;14.45;2;0;bouclier;1;m;word
délivrer;8;14.45;2;0;délivrer;1;m;word
efficace;8;14.54;2;0;efficace;1;m;word
cervelle;8;14.56;2;0;cervelle;1;m;word
attentat;8;14.58;2;0;attentat;1;m;word
munition;8;14.68;2;0;munition;1;m;word
déguiser;8;14.89;2;0;déguiser;1;m;word
mépriser;8;15.05;2;0;mépriser;1;m;word
circuler;8;15.19;2;0;circuler;1;m;word
fabuleux;8;15.34;2;0;fabuleux;1;m;word
éléphant;8;15.36;2;0;éléphant;1;m;word
individu;8;15.38;2;0;individu;1;m;word
analyser;8;15.4;2;0;analyser;1;m;word
